"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2016","736.68","752.15","759.06","734.44","284.50K","-1.65%"
"10/02/2016","749.06","754.97","758.66","746.06","385.55K","-1.04%"
"09/25/2016","756.90","756.10","759.39","747.88","366.84K","-0.33%"
"09/18/2016","759.39","743.34","764.65","741.71","352.08K","2.55%"
"09/11/2016","740.50","736.37","748.21","731.32","468.24K","0.07%"
"09/04/2016","739.97","762.93","765.55","739.94","283.77K","-2.87%"
"08/28/2016","761.87","752.43","761.87","746.15","364.44K","1.32%"
"08/21/2016","751.91","747.30","759.14","745.40","316.83K","0.41%"
"08/14/2016","748.85","745.52","751.99","741.01","329.60K","0.63%"
"08/07/2016","744.16","747.20","748.82","739.85","345.76K","-0.34%"
"07/31/2016","746.67","743.83","747.94","729.66","394.24K","0.36%"
"07/24/2016","743.98","741.17","747.08","737.99","404.58K","0.29%"
"07/17/2016","741.86","740.63","744.19","735.35","295.74K","0.15%"
"07/10/2016","740.72","724.00","744.46","724.00","346.83K","2.54%"
"07/03/2016","722.40","707.13","722.90","695.58","280.03K","1.72%"
"06/26/2016","710.17","688.17","712.55","668.37","435.34K","2.62%"
"06/19/2016","692.01","704.25","719.19","690.01","543.83K","-1.35%"
"06/12/2016","701.48","710.60","712.60","693.91","465.39K","-1.56%"
"06/05/2016","712.58","710.20","727.28","709.78","347.77K","0.43%"
"05/29/2016","709.55","703.61","713.22","701.22","330.55K","0.95%"
"05/22/2016","702.85","680.74","702.85","679.17","358.37K","3.23%"
"05/15/2016","680.89","678.27","686.96","665.69","404.84K","0.53%"
"05/08/2016","677.30","687.45","693.49","676.25","400.42K","-1.55%"
"05/01/2016","687.93","695.76","700.04","678.89","479.59K","-0.95%"
"04/24/2016","694.56","700.79","709.20","690.51","426.41K","-1.07%"
"04/17/2016","702.10","690.61","703.41","688.89","359.98K","1.37%"
"04/10/2016","692.63","674.05","693.33","670.38","347.66K","3.01%"
"04/03/2016","672.42","688.04","688.12","665.84","364.96K","-2.28%"
"03/27/2016","688.10","667.54","689.08","662.65","386.34K","3.27%"
"03/20/2016","666.28","677.89","679.23","658.20","268.44K","-1.84%"
"03/13/2016","678.79","667.82","679.64","654.80","500.26K","1.45%"
"03/06/2016","669.06","663.05","671.81","649.84","415.45K","0.72%"
"02/28/2016","664.31","637.60","667.66","635.85","520.75K","4.22%"
"02/21/2016","637.42","623.95","639.34","615.17","400.19K","2.76%"
"02/14/2016","620.28","602.10","623.40","602.10","358.81K","3.64%"
"02/07/2016","598.52","601.55","607.43","581.78","442.47K","-1.10%"
"01/31/2016","605.16","627.16","630.70","605.16","439.27K","-3.94%"
"01/24/2016","629.95","613.36","629.95","602.26","471.52K","2.44%"
"01/17/2016","614.97","611.99","615.52","581.63","390.52K","1.04%"
"01/10/2016","608.63","625.48","630.75","594.36","490.39K","-2.37%"
